id,link,text,date,likes,comments
0,https://twitter.com/HackneyPSC/status/1727443646151278839#m,"A statement from psychoanalytic activists:  The BIPOCanalysis Collective: Statement ""Toward Liberation Palestine"" https://psychoanalyticactivist.com/2023/10/13/the-bipocanalysis-collective-statement-toward-liberation-palestine/","Nov 22, 2023 · 9:47 PM UTC",0,0
1,https://twitter.com/cherrysattitude/status/1727348012685594904#m,bak bak bak bak doyamadınız,"Nov 22, 2023 · 3:27 PM UTC",443,9
2,https://twitter.com/diamoundgirls2/status/1710554409925587097#m,Check out 🏒 35 + different ERIK KARLSSON cards lot 2010 - 2018 all Senators https://www.ebay.com/itm/175873598140?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=Z1DaHEQgTUq&sssrc=2047675&ssuid=Z1DaHEQgTUq&widget_ver=artemis&media=TW #eBay via @eBay Israel Gaza Hamas #AsianGames Steve Cohen Klaus Schwab Tel Aviv Nebraska Palestinian Kansas State OTEV Lido #SmackDown #isles Hockey NHL MLB NFL NBA,"Oct 7, 2023 · 7:15 AM UTC",0,0
3,https://twitter.com/mmtchi/status/1727646341659001269#m,Il s'en passe des trucs pendant qu'on vous oriente sur Israël.  Vous vous rappelez quand la Hongrie a empêché l'UE l'aide militaire de 500M€ à l'Ukraine? Ou la Pologne refusant la réforme migratoire?Le Parlement EU vient de faire sauter le droit de #veto. https://www.europarl.europa.eu/news/fr/press-room/20231117IPR12217/avenir-de-l-ue-les-propositions-du-parlement-pour-modifier-les-traites,"Nov 23, 2023 · 11:12 AM UTC",381,44
4,https://twitter.com/NoahIeeNG/status/1727443195016163526#m,"AW OKAY.. WELL THATS COOL, IM SURE PAL WILL APPRECIATE MY COLLECTION!","Nov 22, 2023 · 9:45 PM UTC",0,0
5,https://twitter.com/AgenciaAJN/status/1727502003968889069#m,Una ciudad debajo de un hospital ❗️  Hospital Al-Shifa desde arriba. La ciudad terrorista de Hamás debajo. Hamás libra la guerra y secuestra inocentes desde los hospitales   #HamasisISIS #Israel #Gaza #IDF @IDF #Hamas #Hezbollah #WestBank #Jihad #فلسطين #بالقدس #السلطة #Iran #هنية #نابلس #السهم_الواقي #اطلاع‌نگاشت #Palestine,"Nov 23, 2023 · 1:39 AM UTC",121,13
6,https://twitter.com/LCG000/status/1727670383019532411#m,"What you said to Eylon, that “Palestinian lives are not as important as Israeli hostages” is absolutely ABHORRENT! How dare you even ask him that? Think logically, for Israel to get back 50 innocent civilians, kidnapped, the Israelis have had to hand over 150 CONVICTED CRIMINALS","Nov 23, 2023 · 12:48 PM UTC",0,0
7,https://twitter.com/rekilanga/status/1727443168684281893#m,oh lord uhm gimme a moment,"Nov 22, 2023 · 9:45 PM UTC",1,0
8,https://twitter.com/RaniaKhalek/status/1727633747397284112#m,"Israel killed the son of Lebanese MP Mohammad Raad, the head of the Loyalty Bloc of the Lebanese Resistance - Hezbollah.   Here is a video of Raad mourning his son.   Compare his calm words calling for a better world and expressing strength to the dark vengeful murderous rhetoric you hear from Israeli officials.  “We are steadfast on this path …  we want honor and dignity for our people and nation and this world.”  Subs by @xpmov","Nov 23, 2023 · 10:22 AM UTC",432,23
9,https://twitter.com/FatboyBru/status/1727669853350207764#m,Oh! And the MSM reported that Israeli bombed a hospital and they didn't. Where's the retraction? It's okay to tell alie about Israel but not about The terrorists?,"Nov 23, 2023 · 12:46 PM UTC",0,0
10,https://twitter.com/RespectfulMemes/status/1727431765529420216#m,,"Nov 22, 2023 · 9:00 PM UTC",2021,9
11,https://twitter.com/palestine00001/status/1727443250175475806#m,I thought all tunnels are connected … the command and control is not ? This makes it a trap ?! The cable of the AC id not connected ?!,"Nov 22, 2023 · 9:45 PM UTC",0,0
12,https://twitter.com/ActualidadRT/status/1727668319015297202#m,"Pedro Sánchez en Israel: La respuesta a Hamás ""no puede implicar la muerte de miles de niños"" en Gaza https://esrt.site/actualidad/489605-sanchez-israel-respuesta-hamas-muertes-ni%C3%B1os","Nov 23, 2023 · 12:40 PM UTC",50,3
13,https://twitter.com/Campb37345Maree/status/1727445554085445820#m,"Don’t let the smile deceive you - he was a baby killer and active participant in the genocide in Gaza.   Tonight, it has been reported (source: Israel National News), IDF Staff Sergeant Eitan Dov Rosenzweig, of the Givati Brigade Shaked Battalion, has been laid to rest by the Gazans.  May his memory be a reminder that illegal occupation has consequences -  and may it plant seeds of peace and humanity into genocidal Israel.","Nov 22, 2023 · 9:54 PM UTC",2526,338
14,https://twitter.com/ZechariahSharab/status/1727244677009514914#m,"#Hamas founder Mahmoud al-Zahar, in his own words:  ""For us #Palestine is like a toothpick for cleaning our teeth, because we have a much bigger plan""  He points at the globe laughing and says:  ""#Palestine does not exist on the map""","Nov 22, 2023 · 8:36 AM UTC",610,31
15,https://twitter.com/NataliaSancha/status/1727667512202924516#m,"300 nombres d menores y mujeres en 1 lista d presos palestinos en las cárceles de #Israel x ser intercambiados x rehenes israelíes. Sin cargos, sin juicio, en aislamiento, es el caso de cientos de menores de un sistema judicial antidemocrático en #Israel . https://elpais.com/internacional/2023-11-23/lanzar-piedras-o-apoyar-el-terrorismo-las-acusaciones-contra-algunos-de-los-palestinos-que-seran-liberados-por-el-acuerdo-entre-israel-y-hamas.html?ssm=TW_CC","Nov 23, 2023 · 12:36 PM UTC",4,0
16,https://twitter.com/samahpal23/status/1727442823895728342#m,قوات الاحتلال تعتقل أحد الشبان خلال اقتحامها لبلدة #سبسطية,"Nov 22, 2023 · 9:43 PM UTC",2,0
17,https://twitter.com/Dapoq_pdot/status/1726929589627478468#m,"Unlike israel, Malaysia and Singapore is the example of two states solution that actually works. We gave them their own sovereign state in 1965 and we also dont bomb them every now and then.","Nov 21, 2023 · 11:44 AM UTC",13240,44
18,https://twitter.com/KufiyyaPS/status/1727655094093570522#m,"Average israel supporters 👇👇👇👇 You guys didn't even see my DM, that's a whole other story  These Anti-semitic demons must be banned from Twitter","Nov 23, 2023 · 11:47 AM UTC",70,15
